"#","Game","Release date","Price","Userscore (Metascore)","Owners","Playtime (Median)"
"313","Moon Breakers","May 17, 2012","Free","N/A (N/A)","202,498 ±11,491","15:21 (00:19)"
"97","Hero Academy","Aug 10, 2012","$4.99","70% (75%)","202,327 ±11,486","24:38 (01:33)"
"316","Krater","Jun 12, 2012","$14.99","61% (N/A)","199,593 ±11,408","04:02 (02:11)"
"135","Toy Soldiers","Apr 27, 2012","$9.99","90% (71%)","198,226 ±11,369","05:42 (02:14)"
"187","A Valley Without Wind","Apr 24, 2012","$14.99","N/A (54%)","195,834 ±11,300","03:39 (01:26)"
"255","Towns","Nov 7, 2012","$14.99","29% (N/A)","195,150 ±11,281","21:34 (02:31)"
"296","Dead Pixels","Dec 7, 2012","$2.99","87% (N/A)","193,270 ±11,226","03:25 (00:56)"
"360","Blood Bowl: Chaos Edition","Oct 11, 2012","$29.99","87% (N/A)","187,631 ±11,061","43:59 (09:06)"
"68","Rocksmith","Oct 16, 2012","$29.99","94% (78%)","185,239 ±10,991","29:29 (07:59)"
"232","LEGO Batman 2","Jun 22, 2012","$19.99","N/A (N/A)","181,138 ±10,868","15:45 (05:31)"
"222","Wanderlust: Rebirth","Jul 27, 2012","$7.99","N/A (N/A)","180,454 ±10,848","03:05 (01:20)"
"283","Jet Set Radio","Sep 19, 2012","$4.99","88% (N/A)","180,283 ±10,843","03:01 (00:51)"
"15","Rayman Origins","Mar 29, 2012","$19.99","95% (86%)","180,112 ±10,838","06:45 (02:30)"
"174","Total War Battles: SHOGUN","Aug 29, 2012","$4.99","N/A (59%)","180,112 ±10,838","02:26 (00:48)"
"36","The Book of Unwritten Tales","Jul 31, 2012","$19.99","91% (82%)","178,574 ±10,791","08:56 (07:06)"
"106","Cubemen","Mar 16, 2012","$3.99","N/A (74%)","176,524 ±10,729","02:00 (00:46)"
"214","Defender's Quest: Valley of the Forgotten","Oct 30, 2012","$14.99","97% (N/A)","171,910 ±10,588","15:22 (07:36)"
"61","Waking Mars","Dec 13, 2012","$9.99","90% (79%)","171,739 ±10,583","05:26 (00:57)"
"110","They Bleed Pixels","Aug 29, 2012","$9.99","89% (74%)","171,739 ±10,583","04:16 (01:47)"
"67","Chaos on Deponia","Nov 6, 2012","$2.99","93% (78%)","170,714 ±10,551","10:22 (07:20)"
"131","Ridge Racer Unbounded","Mar 29, 2012","$9.99","N/A (72%)","169,688 ±10,519","05:17 (01:13)"
"333","Port Royale 3","May 4, 2012","$19.99","N/A (N/A)","166,271 ±10,413","12:39 (03:34)"
"210","You Need A Budget 4 (YNAB)","Dec 19, 2012","$59.99","93% (N/A)","164,733 ±10,365","78:43 (03:48)"
"93","The Dark Eye: Chains of Satinav","Jun 22, 2012","$0.99","89% (75%)","164,220 ±10,349","07:22 (05:13)"
"270","Hack, Slash, Loot","Apr 5, 2012","$6.99","48% (N/A)","162,682 ±10,300","03:29 (01:12)"
"286","Sonic CD","Jan 19, 2012","$4.99","93% (N/A)","161,657 ±10,268","02:00 (00:33)"
"52","LEGO Harry Potter: Years 5-7","Jan 5, 2012","$19.99","N/A (80%)","160,290 ±10,224","12:50 (04:34)"
"199","Cortex Command","Sep 28, 2012","$19.99","79% (44%)","158,923 ±10,180","08:16 (01:38)"
"292","Dynamite Jack","May 10, 2012","$9.99","N/A (N/A)","158,581 ±10,170","01:07 (00:13)"
"310","Transformers: Fall of Cybertron","Aug 20, 2012","$24.99","95% (N/A)","156,872 ±10,115","24:16 (08:22)"
"104","King's Bounty: Warriors of the North","Oct 25, 2012","$14.99","N/A (74%)","156,189 ±10,093","55:04 (15:20)"
"301","Fieldrunners","May 24, 2012","$4.99","N/A (N/A)","155,676 ±10,076","04:54 (01:12)"
"325","Spirits","Sep 4, 2012","$9.99","N/A (N/A)","151,404 ±9,937","01:39 (00:27)"
"354","Atlantica","Jun 29, 2012","Free","N/A (N/A)","150,720 ±9,914","148:32 (01:11)"
"158","Sword of the Stars II: Enhanced Edition","Nov 30, 2012","$19.99","N/A (65%)","150,549 ±9,909","33:44 (01:35)"
"369","SONIC THE HEDGEHOG 4 Episode I","Jan 19, 2012","$9.99","53% (N/A)","150,208 ±9,898","03:28 (00:45)"
"295","Kung Fu Strike: The Warrior's Rise","Jul 24, 2012","$9.99","80% (N/A)","148,328 ±9,835","03:08 (00:50)"
"27","Tales from Space: Mutant Blobs Attack","Aug 15, 2012","$7.99","N/A (83%)","144,739 ±9,716","02:26 (01:48)"
"211","Zombie Driver HD","Oct 17, 2012","$9.99","87% (N/A)","143,543 ±9,676","05:07 (01:23)"
"169","Analogue: A Hate Story","Apr 27, 2012","$9.99","94% (62%)","139,100 ±9,525","06:18 (02:39)"
"154","King Arthur II - The Role-playing Wargame","Jan 27, 2012","$5.99","N/A (66%)","137,562 ±9,472","10:19 (01:48)"
"269","Titan Attacks","Feb 3, 2012","$9.99","91% (N/A)","135,170 ±9,389","02:47 (01:35)"
"188","SONIC THE HEDGEHOG 4 Episode II","May 15, 2012","$14.99","N/A (54%)","132,948 ±9,312","05:13 (00:59)"
"126","Ys: The Oath in Felghana","Mar 19, 2012","$14.99","95% (73%)","132,436 ±9,294","07:25 (02:50)"
"51","The Blackwell Legacy","Jan 13, 2012","$4.99","89% (80%)","130,556 ±9,228","02:49 (02:16)"
"312","Snuggle Truck","Feb 3, 2012","$4.99","N/A (N/A)","124,233 ±9,002","04:08 (00:35)"
"368","The Amazing Spider-Man","Sep 25, 2012","$39.99","76% (N/A)","122,524 ±8,940","13:18 (06:09)"
"207","Cargo Commander","Nov 1, 2012","$9.99","85% (N/A)","121,841 ±8,915","02:54 (01:19)"
"145","Of Orcs And Men","Oct 11, 2012","$29.99","71% (69%)","120,474 ±8,864","05:48 (01:36)"
"307","Lunar Flight","Apr 10, 2012","$9.99","N/A (N/A)","119,107 ±8,814","02:18 (00:54)"
"208","Puddle","Nov 9, 2012","$7.99","N/A (N/A)","118,594 ±8,795","01:49 (00:51)"
"164","Jagged Alliance: Crossfire","Aug 24, 2012","$19.99","N/A (63%)","116,202 ±8,706","39:26 (02:28)"
"26","Galactic Civilizations I: Ultimate Edition","Aug 14, 2012","$9.99","N/A (83%)","113,809 ±8,616","05:40 (00:36)"
"345","Painkiller: Recurring Evil","Feb 29, 2012","$9.99","N/A (N/A)","113,809 ±8,616","02:17 (00:36)"
"365","Planets Under Attack","Sep 27, 2012","$9.99","N/A (N/A)","113,467 ±8,603","02:38 (00:57)"
"236","Blackwell Unbound","Jan 13, 2012","$4.99","N/A (N/A)","111,417 ±8,525","02:23 (01:45)"
"326","Air Conflicts: Pacific Carriers","Sep 21, 2012","$7.49","N/A (N/A)","110,904 ±8,505","05:23 (00:52)"
"234","Fortune Summoners: Secret of the Elemental Stone","Jan 30, 2012","$19.99","N/A (N/A)","110,562 ±8,492","20:20 (01:24)"
"361","Blackwell Convergence","Jan 13, 2012","$4.99","N/A (N/A)","110,562 ±8,492","02:42 (02:08)"
"74","The Dream Machine","May 11, 2012","$4.99","N/A (77%)","109,366 ±8,446","04:07 (02:13)"
"59","Street Fighter X Tekken","May 11, 2012","$29.99","71% (79%)","107,999 ±8,393","13:00 (03:54)"
"181","Men of War: Condemned Heroes","Apr 12, 2012","$9.99","N/A (57%)","106,119 ±8,320","11:58 (02:01)"
"376","Shoot Many Robots","Apr 6, 2012","$9.99","91% (N/A)","104,752 ±8,266","09:33 (05:09)"
"103","Iron Brigade","Aug 13, 2012","$14.99","N/A (75%)","104,581 ±8,259","07:00 (03:10)"
"66","Fallen Enchantress","Oct 23, 2012","$19.99","N/A (78%)","104,240 ±8,246","25:35 (09:29)"
"84","Miasmata","Nov 28, 2012","$14.99","82% (76%)","104,069 ±8,239","02:35 (01:00)"
"263","Dogfight 1942","Sep 21, 2012","$9.99","N/A (N/A)","103,898 ±8,232","04:13 (01:23)"
"300","Tony Hawk's Pro Skater HD","Sep 18, 2012","$9.99","64% (N/A)","102,702 ±8,185","06:24 (02:05)"
"173","A Game of Dwarves","Oct 23, 2012","$9.99","N/A (60%)","100,138 ±8,082","12:03 (04:43)"
"5","NBA 2K13","Oct 30, 2012","$29.99","N/A (90%)","97,746 ±7,985","88:26 (20:56)"
"48","FLY'N","Nov 9, 2012","$9.99","N/A (80%)","96,037 ±7,915","02:34 (00:59)"
"113","Stellar Impact","Apr 12, 2012","$9.99","N/A (74%)","96,037 ±7,915","07:39 (02:09)"
"11","Thirty Flights of Loving","Aug 20, 2012","$4.99","65% (88%)","95,524 ±7,894","00:50 (00:29)"
"24","GT Legends","Nov 28, 2012","$7.99","N/A (84%)","92,449 ±7,766","00:55 (00:01)"
